text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 #InBetweenDying #HilalBaydarov: “I started to ask myself who I was when I was 7 years old.…;FALSE;0;;2020-09-11 22:39:07;FALSE;;1304550064841523200;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;27;TRUE;FALSE;;
RT @nomadlandfilm: see you down the road. 
#Nomadland, a film by Chloé Zhao starring Frances McDormand.
In theaters December 4.
#Venezia77…;FALSE;0;;2020-09-11 22:38:00;FALSE;;1304549785538625537;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;lcm1pen;573;TRUE;FALSE;;
RT @TheHotCorn_: HOT CORN TV | #DiegoBoneta e #DarioYazbek a #Venezia77 per #NuevoOrden <U+0001F44A><U+0001F44A> https://t.co/6EkC7HpXTe;FALSE;0;;2020-09-11 22:33:02;FALSE;;1304548533517922306;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;alejand84792672;2;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 @ma_silvestre and @alexdelaIglesia pose on the red carpet of #30Coins https://t.co/ax2tbcJh…;FALSE;0;;2020-09-11 22:26:33;FALSE;;1304546901715562496;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;blackgrrrl;9;TRUE;FALSE;;
RT @robinmonotti: "Malick offered some notes — and an encouraging reaction..The endorsement resonated. During a two-week guest-teaching sti…;FALSE;0;;2020-09-11 22:24:30;FALSE;;1304546387128877056;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;Soggy_Botttom;6;TRUE;FALSE;;
RT @OnTheLido: The @FIPRESCI Prize for competition goes to THE DISCIPLE!
#Venezia77;FALSE;0;;2020-09-11 22:23:25;FALSE;;1304546115816239106;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;polidoropress;63;TRUE;FALSE;;
RT @askyfullofCate: That's all I could do.
#CateBlanchett 
#Venezia77 https://t.co/y2ssBHUCOg;FALSE;0;;2020-09-11 22:22:56;FALSE;;1304545993636151297;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;cateluvr;33;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:22:42;FALSE;;1304545931988283392;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;EduardoRMo;42;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 22:20:20;FALSE;;1304545336417902592;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;SubhradeepMand6;162;TRUE;FALSE;;
